메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
초코빽스치노(BASIC),520.0,92.0,36.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전초코빽스치노-BASIC-450x588.png"""
초코빽스치노(SOFT),694.0,103.0,36.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/완전초코빽스치노-SOFT-450x588.png"""
피스타치오빽스치노(BASIC),535.0,12.0,10.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/피스타치오빽스치노-BASIC-450x588.png"""
피스타치오빽스치노(SOFT),742.0,24.0,10.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/피스타치오빽스치노-SOFT-450x588.png"""
퐁당치노(바닐라),496.0,60.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/퐁당치노_바닐라-450x588.png"""
퐁당치노(원조커피),483.0,54.0,206.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/퐁당치노_원조-450x588.png"""
퐁당치노(미숫가루),613.0,74.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/퐁당치노_미숫가루-450x588.png"""
더블에스프레소,22.0,0.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/더블에스프레소-2-450x588.png"""
아메리카노(HOT),14.0,0.0,237.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/HOT-앗메리카노-450x588.png"""
아메리카노(ICED),13.0,0.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/ICED-앗메리카노-450x588.png"""
원조커피(HOT),471.0,57.0,406.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/HOT-원조커피-450x588.png"""
원조커피(ICED),425.0,48.0,371.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/ICED-원조커피-450x588.png"""
원조커피 제로슈거(HOT),372.0,0.0,489.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/원조커피핫-450x588.png"""
원조커피 제로슈거(ICED),327.0,0.0,452.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/ICED-원조커피-450x588.png"""
달달연유라떼(HOT),491.0,62.0,237.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/HOT-달달연유라떼-1-450x588.png"""
달달연유라떼(ICED),394.0,54.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/ICED-달달연유라떼_-450x588.png"""
빽’s 카페라떼(HOT),253.0,9.0,237.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/HOT-빽s라떼-450x588.png"""
빽’s 카페라떼(ICED),198.0,10.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/빽s-라떼ICED-450x588.png"""
블랙펄카페라떼(ICED),429.0,59.0,118.5,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/블랙펄카페라떼-450x588.png"""
바닐라라떼(HOT),351.0,35.0,237.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/HOT-바닐라라떼-1-450x588.png"""
바닐라라떼(ICED),433.0,38.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/ICED-바닐라라떼-450x588.png"""
카페모카(HOT),319.0,32.0,237.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/HOT-카페모카-450x588.png"""
카페모카(ICED),365.0,36.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/ICED-카페모카-450x588.png"""
카라멜마키아또(HOT),354.0,40.0,237.0,1,0,"https://paikdabang.com/wp-content/uploads/2018/05/HOT-카라멜마키아또-450x588.png"""
카라멜마키아또(ICED),382.0,43.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/ICED-카라멜마키아또-450x588.png"""
바나나 카페라떼(HOT),297.0,40.0,119.0,1,0,"https://paikdabang.com/wp-content/uploads/2023/03/바나나카페라떼HOT-450x588.png"""
바나나 카페라떼(ICED),303.0,39.0,119.0,1,1,"https://paikdabang.com/wp-content/uploads/2023/03/바나나카페라떼ICED-450x588.png"""
바나나 커피쉐이크,380.0,63.0,119.0,1,1,"https://paikdabang.com/wp-content/uploads/2023/03/바나나커피쉐이크ICED-450x588.png"""
아이스크림카페라떼(ICED),357.0,32.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/05/아이스크림카페라떼-450x588.png"""
아이스크림바닐라라떼(ICED),520.0,49.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/05/아이스크림바닐라라떼-450x588.png"""
아이스크림카페모카(ICED),512.0,50.0,237.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/05/아이스크림카페모카-450x588.png"""
콜드브루(ICED),15.0,0.0,209.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/콜드브루-1-450x588.png"""
콜드브루(HOT),15.0,0.0,209.0,1,0,"https://paikdabang.com/wp-content/uploads/2023/02/콜드브루HOT-450x588.png"""
디카페인 콜드브루(ICED),11.0,0.0,15.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/디카페인-콜드브루-1-450x588.png"""
콜드브루라떼(ICED),168.0,9.0,209.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/05/콜드브루라떼-1-450x588.png"""
콜드브루라떼(HOT),206.0,13.0,209.0,1,0,"https://paikdabang.com/wp-content/uploads/2023/02/콜드브루라떼HOT-450x588.png"""
디카페인 콜드브루라떼(ICED),162.0,9.0,15.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/콜드브루라떼-450x588.png"""
콜드브루라떼(연유)(ICED),379.0,36.0,209.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루연유라떼-450x588.png"""
콜드브루라떼(연유)(HOT),371.0,39.0,209.0,1,0,"https://paikdabang.com/wp-content/uploads/2023/02/콜드브루연유라떼HOT-450x588.png"""
디카페인 콜드브루라떼(연유)(ICED),357.0,40.0,15.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루연유라떼-450x588.png"""
콜드브루라떼(흑당)(ICED),312.0,44.0,209.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루흑당라떼-450x588.png"""
콜드브루라떼(흑당)(HOT),334.0,42.0,209.0,1,0,"https://paikdabang.com/wp-content/uploads/2023/02/콜드브루흑당라떼HOT-450x588.png"""
디카페인 콜드브루라떼(흑당)(ICED),280.0,45.0,15.0,1,1,"https://paikdabang.com/wp-content/uploads/2022/01/콜드브루흑당라떼-450x588.png"""
아이스티샷추가(아샷추),265.0,64.0,93.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/아샷추-450x588.png"""
